NAME,IDENTIFIER,PREPARATION STEP NAME,PREPARATION STEP DETAIL: Power (W),PREPARATION STEP DETAIL: Scan Speed (mm/s),PREPARATION STEP DETAIL: Layer Thickness (um),PREPARATION STEP DETAIL: Build Orientation (°),PROPERTY: Ra (um),PROPERTY: Rms (um),PROPERTY: Rt (um),PROPERTY: Rsk (na),PROPERTY: Rku (na),PROPERTY: RzDIN (um),PROPERTY: RzJIS (um),PROPERTY: Asperity Density (#/100 um2),PROPERTY: Asperity Radius (um),PROPERTY: Standard Deviation Asperity Height (um),Energy density,fatigue
IN718,P22_B,Manufacture,220,1180,30,90,17.525,24.098,152.54,1.176366667,1.527066667,122.81,98.501,62.265,0.441,73.07,62.14689266,107355.8648
IN718,P22_C,Manufacture,220,1180,30,90,17.073,22.701,138.98,1.191266667,1.5741,114,74.655,66.906,0.4515,62.538,62.14689266,109741.5507
IN718,P23_A,Manufacture,315,1050,60,0,73.65,90.03,475.04,1.173033333,1.516633333,332.22,230.43,44.63,0.31,277.18,50,57508.89123
IN718,P23_B,Manufacture,315,1050,60,0,65.96,83.49,493.87,1.194,1.5222,318.62,258.07,48.2,0.29,253.18,50,69750.88261
IN718,P23_C,Manufacture,315,1050,60,0,98.62,126.35,702.53,1.2246,1.6443,394.96,320.44,42.66,0.28,350.95,50,70000
IN718,P24_A,Manufacture,315,1050,60,90,16.181,22.355,151.48,1.161966667,1.477333333,116.08,84.126,63.641,0.462,67.483,50,93096.08178
IN718,P24_B,Manufacture,315,1050,60,90,18.218,24.969,165.08,1.1281,1.374566667,132.2,109.08,60.795,0.441,83.276,50,97935.94186
IN718,P24_C,Manufacture,315,1050,60,90,23.404,35.658,271.91,1.179033333,1.532666667,201.69,195.65,52.29,0.399,172.57,50,97935.94186
IN718,P25_A,Manufacture,200,1000,60,90,14.081,19.824,147.63,1.1411,1.411516667,108.57,81.921,69.783,0.462,69.206,33.33333333,105053.38
IN718,P25_B,Manufacture,200,1000,60,90,14.921,20.801,132.89,1.1433,1.41855,103.72,68.334,68.03,0.483,59.21,33.33333333,109323.8428
