Label,Sample,Side,Scan,Ra,Rms,unk1,unk2,unk3,Power (C1),Scan Speed (C1),Power (C2),Scan Speed (C2),Power (Fill),Scan Speed (Fill),Layer Thickness,Build Orientation,Scan Strategy,Spot Size,Stress Mean,Stress ratio,Fatigue life
,,,,(um),(um),,,,(W),(mm/s),(W),(mm/s),(W),(mm/s),(um),(°),-,(um),MPa,R,(cycles)
P3,A,2,1,18.05,26.85,0.004,0.4485,105.52,115,625,115,625,115,620,30,90,C1-C2-Fill,50,330,0.1,119646
P3,A,2,2,14.14,20.62,0.0045,0.5007,71.31,115,625,115,625,115,620,30,90,C1-C2-Fill,50,330,0.1,119646
P3,A,3,1,23.1,36.76,0.0038,0.37,190.28,115,625,115,625,115,620,30,90,C1-C2-Fill,50,330,0.1,119646
P3,A,4,1,13.91,21.54,0.0044,0.4888,85.51,115,625,115,625,115,620,30,90,C1-C2-Fill,50,330,0.1,119646
P3,B,1,1,20.83,29.09,-,-,-,115,625,115,625,115,620,30,90,C1-C2-Fill,50,330,0.1,120255
P3,B,1,2,21.82,29.89,0.004,0.4188,105.42,115,625,115,625,115,620,30,90,C1-C2-Fill,50,330,0.1,120255
P3,B,2,1,13.45,19.72,0.0046,0.5143,74.71,115,625,115,625,115,620,30,90,C1-C2-Fill,50,330,0.1,120255
P3,B,2,2,15.75,23.52,0.0044,0.4737,90.87,115,625,115,625,115,620,30,90,C1-C2-Fill,50,330,0.1,120255
P3,B,3,1,17.22,26.36,0.0041,0.4457,102.12,115,625,115,625,115,620,30,90,C1-C2-Fill,50,330,0.1,120255
P3,B,4,1,15.18,22.53,0.0045,0.4728,80.01,115,625,115,625,115,620,30,90,C1-C2-Fill,50,330,0.1,120255
P3,C,1,1,22.78,32.4,-,-,-,115,625,115,625,115,620,30,90,C1-C2-Fill,50,330,0.1,93929
P3,C,1,2,20.5,27.85,0.0042,0.4358,95.11,115,625,115,625,115,620,30,90,C1-C2-Fill,50,330,0.1,93929
P3,C,2,1,19.14,28.26,0.004,0.4622,101.89,115,625,115,625,115,620,30,90,C1-C2-Fill,50,330,0.1,93929
P3,C,2,2,15.3,21.43,0.0048,0.4627,66.1,115,625,115,625,115,620,30,90,C1-C2-Fill,50,330,0.1,93929
P3,C,3,1,15.59,22.75,0.0044,0.4615,79.34,115,625,115,625,115,620,30,90,C1-C2-Fill,50,330,0.1,93929
P3,C,4,1,16.02,22.51,0.0044,0.464,67.74,115,625,115,625,115,620,30,90,C1-C2-Fill,50,330,0.1,93929
P4,A,1,1,19.97,26.28,0.0036,0.6013,59.58,115,625,115,625,168,1475,30,0,C1-C2-Fill,50,330,0.1,12267
P4,A,1,2,17.98,23.98,0.0037,0.611,66.29,115,625,115,625,168,1475,30,0,C1-C2-Fill,50,330,0.1,12267
P4,A,1,3,12.06,14.13,0.0037,1.1672,35.02,115,625,115,625,168,1475,30,0,C1-C2-Fill,50,330,0.1,12267
P4,A,2,1,12.41,14.56,0.0039,0.9421,37.04,115,625,115,625,168,1475,30,0,C1-C2-Fill,50,330,0.1,12267
P4,A,2,2,13.97,16.34,0.0035,0.92,40.48,115,625,115,625,168,1475,30,0,C1-C2-Fill,50,330,0.1,12267
P4,A,2,3,9.61,11.49,0.0044,1.0589,30.68,115,625,115,625,168,1475,30,0,C1-C2-Fill,50,330,0.1,12267
P4,A,3,1,49.92,65.77,0.0033,0.2765,204.18,115,625,115,625,168,1475,30,0,C1-C2-Fill,50,330,0.1,12267
P4,A,4,1,39.55,50.38,0.0032,0.4186,203.48,115,625,115,625,168,1475,30,0,C1-C2-Fill,50,330,0.1,12267
P4,B,1,1,16.28,18.91,0.0033,0.9764,45.44,115,625,115,625,168,1475,30,0,C1-C2-Fill,50,330,0.1,8866
P4,B,1,2,15.19,18.02,0.0033,0.9861,48.15,115,625,115,625,168,1475,30,0,C1-C2-Fill,50,330,0.1,8866
P4,B,1,3,16.02,19.38,0.0036,0.7978,54.03,115,625,115,625,168,1475,30,0,C1-C2-Fill,50,330,0.1,8866
P4,B,2,1,26.95,39.08,0.0031,0.8438,57.78,115,625,115,625,168,1475,30,0,C1-C2-Fill,50,330,0.1,8866
P4,B,2,2,26.11,36.8,0.0033,0.4396,155.12,115,625,115,625,168,1475,30,0,C1-C2-Fill,50,330,0.1,8866
P4,B,2,3,22.44,26.27,0.0029,0.8286,67.1,115,625,115,625,168,1475,30,0,C1-C2-Fill,50,330,0.1,8866
P4,B,3,1,58.84,75.1,0.0032,0.2648,197.54,115,625,115,625,168,1475,30,0,C1-C2-Fill,50,330,0.1,8866
P4,B,4,1,37.66,48.26,0.0037,0.4312,218.08,115,625,115,625,168,1475,30,0,C1-C2-Fill,50,330,0.1,8866
