Label,Sample,Side,Scan,Ra,Rms,unk1,unk2,unk3,Power (C1),Scan Speed (C1),Power (C2),Scan Speed (C2),Power (Fill),Scan Speed (Fill),Layer Thickness,Build Orientation,Scan Strategy,Spot Size,Stress Mean,Stress ratio,Fatigue life
,,,,(um),(um),,,,(W),(mm/s),(W),(mm/s),(W),(mm/s),(um),(°),-,(um),MPa,R,(cycles)
P9,C,2,1,12.266,16.85,0.0050835,0.53707,49.418,115,625,115,625,220,620,30,90,C1-C2-Fill,50,330,0.1,69480
P9,C,2,2,14.041,18.533,0.0050598,0.49039,49.243,115,625,115,625,220,620,30,90,C1-C2-Fill,50,330,0.1,69480
P9,C,2,3,15.781,20.792,0.0048429,0.48088,53.498,115,625,115,625,220,620,30,90,C1-C2-Fill,50,330,0.1,69480
P9,C,3,1,20.997,27.247,0.0043719,0.44607,69.157,115,625,115,625,220,620,30,90,C1-C2-Fill,50,330,0.1,69480
P9,C,4,1,10.727,14.951,0.0052352,0.58253,49.714,115,625,115,625,220,620,30,90,C1-C2-Fill,50,330,0.1,69480
P10,A,1,1,14.31,19.85,0.0046,0.536,50.77,115,625,115,625,275,1770,30,45,C1-C2-Fill,50,330,0.1,99008
P10,A,1,2,15.9,21.51,0.0046,0.4829,52.49,115,625,115,625,275,1770,30,45,C1-C2-Fill,50,330,0.1,99008
P10,A,1,3,10.89,14.94,0.0053,0.5756,49.21,115,625,115,625,275,1770,30,45,C1-C2-Fill,50,330,0.1,99008
P10,A,2,1,20.91,26.03,0.0047,0.4239,67.04,115,625,115,625,275,1770,30,45,C1-C2-Fill,50,330,0.1,99008
P10,A,2,2,22.68,28.13,0.0044,0.4271,67.4,115,625,115,625,275,1770,30,45,C1-C2-Fill,50,330,0.1,99008
P10,A,2,3,22.35,27.54,0.0045,0.4377,74.57,115,625,115,625,275,1770,30,45,C1-C2-Fill,50,330,0.1,99008
P10,A,3,1,22.93,30.11,0.0041,0.4237,79.03,115,625,115,625,275,1770,30,45,C1-C2-Fill,50,330,0.1,99008
P10,A,4,1,13.3,18.42,0.0044,0.5703,57.85,115,625,115,625,275,1770,30,45,C1-C2-Fill,50,330,0.1,99008
P10,B,1,1,15.06,21.54,0.0046,0.4968,64.41,115,625,115,625,275,1770,30,45,C1-C2-Fill,50,330,0.1,108077
P10,B,1,2,23.45,32.24,0.0042,0.4386,67.21,115,625,115,625,275,1770,30,45,C1-C2-Fill,50,330,0.1,108077
P10,B,1,3,13.73,18.89,0.005,0.5206,54.99,115,625,115,625,275,1770,30,45,C1-C2-Fill,50,330,0.1,108077
P10,B,2,1,21.09,26.17,0.0046,0.4469,63.52,115,625,115,625,275,1770,30,45,C1-C2-Fill,50,330,0.1,108077
P10,B,2,2,23.33,28.74,0.0045,0.4188,77.71,115,625,115,625,275,1770,30,45,C1-C2-Fill,50,330,0.1,108077
P10,B,2,3,22.74,28.25,0.0044,0.4195,71.11,115,625,115,625,275,1770,30,45,C1-C2-Fill,50,330,0.1,108077
P10,B,3,1,20.71,27.28,0.0042,0.4489,79.6,115,625,115,625,275,1770,30,45,C1-C2-Fill,50,330,0.1,108077
P10,B,4,1,14.6,19.7,0.0044,0.5566,56.22,115,625,115,625,275,1770,30,45,C1-C2-Fill,50,330,0.1,108077
P10,C,1,1,14.05,20.1,0.0046,0.5224,52.56,115,625,115,625,275,1770,30,45,C1-C2-Fill,50,330,0.1,116362
P10,C,1,2,19.61,26.16,0.0043,0.4448,64.31,115,625,115,625,275,1770,30,45,C1-C2-Fill,50,330,0.1,116362
P10,C,1,3,13.473,18.305,0.0049258,0.53866,56.342,115,625,115,625,275,1770,30,45,C1-C2-Fill,50,330,0.1,116362
P10,C,2,1,22.367,28.007,0.0045494,0.4229,70.098,115,625,115,625,275,1770,30,45,C1-C2-Fill,50,330,0.1,116362
P10,C,2,2,23.075,28.711,0.0044243,0.42969,65.849,115,625,115,625,275,1770,30,45,C1-C2-Fill,50,330,0.1,116362
P10,C,2,3,22.442,27.714,0.0043542,0.43611,67.365,115,625,115,625,275,1770,30,45,C1-C2-Fill,50,330,0.1,116362
P10,C,3,1,24.13,31.692,0.0037735,0.46193,71.883,115,625,115,625,275,1770,30,45,C1-C2-Fill,50,330,0.1,116362
P10,C,4,1,15.334,21.683,0.0041174,0.55033,64.672,115,625,115,625,275,1770,30,45,C1-C2-Fill,50,330,0.1,116362
P11,A,1,1,12.69,17.21,0.0049,0.5625,57.41,115,625,115,625,315,1050,60,45,C1-C2-Fill,50,330,0.1,116331
P11,A,1,2,15.62,20.9,0.0049,0.5018,64.71,115,625,115,625,315,1050,60,45,C1-C2-Fill,50,330,0.1,116331
P11,A,1,3,14.58,19.5,0.005,0.519,59.95,115,625,115,625,315,1050,60,45,C1-C2-Fill,50,330,0.1,116331
P11,A,2,1,20.86,26.6,0.0046,0.4707,63,115,625,115,625,315,1050,60,45,C1-C2-Fill,50,330,0.1,116331
P11,A,2,2,20.67,26.37,0.0047,0.4492,67.86,115,625,115,625,315,1050,60,45,C1-C2-Fill,50,330,0.1,116331
P11,A,2,3,28.18,36.28,0.0043,0.41,79.76,115,625,115,625,315,1050,60,45,C1-C2-Fill,50,330,0.1,116331
P11,A,3,1,13.8,19.45,0.0047,0.5453,65.42,115,625,115,625,315,1050,60,45,C1-C2-Fill,50,330,0.1,116331
P11,A,4,1,10.45,14.33,0.0048,0.6943,49.31,115,625,115,625,315,1050,60,45,C1-C2-Fill,50,330,0.1,116331
P11,B,1,1,15.42,20.21,0.0048,0.5262,51.67,115,625,115,625,315,1050,60,45,C1-C2-Fill,50,330,0.1,117042
P11,B,1,2,14.48,19.62,0.0046,0.5477,51.71,115,625,115,625,315,1050,60,45,C1-C2-Fill,50,330,0.1,117042
P11,B,1,3,14.12,18.89,0.0047,0.5572,53.56,115,625,115,625,315,1050,60,45,C1-C2-Fill,50,330,0.1,117042
P11,B,2,1,14.44,19.99,0.0046,0.5321,57.1,115,625,115,625,315,1050,60,45,C1-C2-Fill,50,330,0.1,117042
P11,B,2,2,16.94,21.99,0.0048,0.5199,62.39,115,625,115,625,315,1050,60,45,C1-C2-Fill,50,330,0.1,117042
P11,B,2,3,20.11,26.2,0.0047,0.4509,72.01,115,625,115,625,315,1050,60,45,C1-C2-Fill,50,330,0.1,117042
P11,B,3,1,14.33,20.41,0.0047,0.5314,73.53,115,625,115,625,315,1050,60,45,C1-C2-Fill,50,330,0.1,117042
P11,B,4,1,13.2,18.88,0.0043,0.6034,68.05,115,625,115,625,315,1050,60,45,C1-C2-Fill,50,330,0.1,117042
P11,C,1,1,11.3,15.44,0.0048,0.6287,56.6,115,625,115,625,315,1050,60,45,C1-C2-Fill,50,330,0.1,101070
P11,C,1,2,15.81,22.13,0.0045,0.525,63.8,115,625,115,625,315,1050,60,45,C1-C2-Fill,50,330,0.1,101070
P11,C,1,3,17.058,23.788,0.0041715,0.51347,70.228,115,625,115,625,315,1050,60,45,C1-C2-Fill,50,330,0.1,101070
P11,C,2,1,17.183,22.898,0.0046048,0.49714,73.073,115,625,115,625,315,1050,60,45,C1-C2-Fill,50,330,0.1,101070
P11,C,2,2,20.326,25.952,0.0045582,0.46956,73.904,115,625,115,625,315,1050,60,45,C1-C2-Fill,50,330,0.1,101070
P11,C,2,3,18.072,24.025,0.0044341,0.49776,61.749,115,625,115,625,315,1050,60,45,C1-C2-Fill,50,330,0.1,101070
P11,C,3,1,16.162,21.711,0.0044642,0.53168,71.245,115,625,115,625,315,1050,60,45,C1-C2-Fill,50,330,0.1,101070
P11,C,4,1,12.574,17.561,0.0044066,0.62334,68.232,115,625,115,625,315,1050,60,45,C1-C2-Fill,50,330,0.1,101070
P12,A,1,1,15.62,21.34,0.0039,0.64,61.5,115,625,115,625,465,1450,60,0,C1-C2-Fill,50,330,0.1,49318
P12,A,1,2,13.05,17.98,0.0042,0.6973,60.03,115,625,115,625,465,1450,60,0,C1-C2-Fill,50,330,0.1,49318
P12,A,1,3,16.82,22.63,0.0039,0.6315,65.13,115,625,115,625,465,1450,60,0,C1-C2-Fill,50,330,0.1,49318
P12,A,2,1,11.53,16.42,0.0043,0.7592,59.7,115,625,115,625,465,1450,60,0,C1-C2-Fill,50,330,0.1,49318
P12,A,2,2,12.8,17.75,0.0044,0.72,58.02,115,625,115,625,465,1450,60,0,C1-C2-Fill,50,330,0.1,49318
P12,A,2,3,11.48,16.52,0.0044,0.7714,54.75,115,625,115,625,465,1450,60,0,C1-C2-Fill,50,330,0.1,49318
P12,A,3,1,27.87,38.36,0.0034,0.4373,137.31,115,625,115,625,465,1450,60,0,C1-C2-Fill,50,330,0.1,49318
P12,A,4,1,55.37,71.91,0.0033,0.3713,372.77,115,625,115,625,465,1450,60,0,C1-C2-Fill,50,330,0.1,49318
P12,B,1,1,19.07,25.01,0.0038,0.6295,67.24,115,625,115,625,465,1450,60,0,C1-C2-Fill,50,330,0.1,51618
P12,B,1,2,18.76,24.78,0.004,0.6066,67.3,115,625,115,625,465,1450,60,0,C1-C2-Fill,50,330,0.1,51618
P12,B,1,3,20.24,27.05,0.0037,0.6211,71.41,115,625,115,625,465,1450,60,0,C1-C2-Fill,50,330,0.1,51618
P12,B,2,1,15.22,21.74,0.004,0.6929,66.42,115,625,115,625,465,1450,60,0,C1-C2-Fill,50,330,0.1,51618
P12,B,2,2,12.76,18.94,0.004,0.7288,76.65,115,625,115,625,465,1450,60,0,C1-C2-Fill,50,330,0.1,51618
P12,B,2,3,15.33,20.45,0.0043,0.6762,63.47,115,625,115,625,465,1450,60,0,C1-C2-Fill,50,330,0.1,51618
P12,B,3,1,28.52,37.22,0.0037,0.4702,110.17,115,625,115,625,465,1450,60,0,C1-C2-Fill,50,330,0.1,51618
P12,B,4,1,45.05,58.93,0.0037,0.4615,206.01,115,625,115,625,465,1450,60,0,C1-C2-Fill,50,330,0.1,51618
P12,C,1,1,19.81,26.88,0.0036,0.5714,71.06,115,625,115,625,465,1450,60,0,C1-C2-Fill,50,330,0.1,35758
P12,C,1,2,23.79,30.74,0.0036,0.5557,71.36,115,625,115,625,465,1450,60,0,C1-C2-Fill,50,330,0.1,35758
P12,C,1,3,16.171,22.209,0.0040035,0.63679,71.675,115,625,115,625,465,1450,60,0,C1-C2-Fill,50,330,0.1,35758
P12,C,2,1,18.598,26.239,0.0037657,0.58655,73.398,115,625,115,625,465,1450,60,0,C1-C2-Fill,50,330,0.1,35758
P12,C,2,2,12.012,16.42,0.0042782,0.77213,55.277,115,625,115,625,465,1450,60,0,C1-C2-Fill,50,330,0.1,35758
P12,C,2,3,13.607,19.18,0.0041348,0.74726,59.901,115,625,115,625,465,1450,60,0,C1-C2-Fill,50,330,0.1,35758
P12,C,3,1,27.113,35.783,0.0033959,0.4788,101.12,115,625,115,625,465,1450,60,0,C1-C2-Fill,50,330,0.1,35758
P12,C,4,1,51.168,63.41,0.0038133,0.48705,246.6,115,625,115,625,465,1450,60,0,C1-C2-Fill,50,330,0.1,35758
